# Phase 7 sweep: apparent Li D vs temperature (comparative-only, not physical). D=slope/(2*dim); D[cm^2/s]=D[A^2/ps]*1e-4.
model,temp_K,component,fit_start_ps,fit_end_ps,n_points,slope_A2_per_ps,D_cm2_per_s,r2,linearity_ratio,regime
model_a,300,3d,1.0,5.0,161,43.9276,7.321271e-04,0.9806,1.752,super-diffusive
model_a,300,xy,1.0,5.0,161,43.9262,1.098155e-03,0.9806,1.752,super-diffusive
model_a,300,z,1.0,5.0,161,0.0014,7.049244e-08,0.0143,0.006,confined plateau
model_a,600,3d,1.0,5.0,161,312.3672,5.206120e-03,0.9757,1.881,super-diffusive
model_a,600,xy,1.0,5.0,161,312.3288,7.808219e-03,0.9757,1.882,super-diffusive
model_a,600,z,1.0,5.0,161,0.0385,1.923376e-06,0.4656,-0.254,confined plateau
model_a,900,3d,1.0,5.0,161,450.4737,7.507895e-03,0.9723,1.969,super-diffusive
model_a,900,xy,1.0,5.0,161,450.5237,1.126309e-02,0.9723,1.970,super-diffusive
model_a,900,z,1.0,5.0,161,-0.0500,-2.502431e-06,0.3390,-0.316,confined plateau
model_a,1200,3d,1.0,5.0,161,290.6136,4.843560e-03,0.9769,1.860,super-diffusive
model_a,1200,xy,1.0,5.0,161,290.5869,7.264672e-03,0.9769,1.860,super-diffusive
model_a,1200,z,1.0,5.0,161,0.0267,1.337221e-06,0.1746,0.952,confined plateau
model_b,300,3d,1.0,5.0,161,2.9681,4.946752e-05,0.6358,-0.385,sub-diffusive
model_b,300,xy,1.0,5.0,161,2.9724,7.430893e-05,0.6372,-0.385,sub-diffusive
model_b,300,z,1.0,5.0,161,-0.0043,-2.152939e-07,0.0457,-0.247,confined plateau
model_b,600,3d,1.0,5.0,161,48.0161,8.002679e-04,0.9812,1.530,super-diffusive
model_b,600,xy,1.0,5.0,161,47.9953,1.199883e-03,0.9812,1.530,super-diffusive
model_b,600,z,1.0,5.0,161,0.0207,1.036710e-06,0.7704,1.482,confined plateau
model_b,900,3d,1.0,5.0,161,60.6361,1.010602e-03,0.9945,0.840,~linear
model_b,900,xy,1.0,5.0,161,60.6322,1.515805e-03,0.9945,0.841,~linear
model_b,900,z,1.0,5.0,161,0.0039,1.968052e-07,0.0075,-0.825,confined plateau
model_b,1200,3d,1.0,5.0,161,286.6575,4.777624e-03,0.9968,1.079,~linear
model_b,1200,xy,1.0,5.0,161,286.6974,7.167435e-03,0.9968,1.078,~linear
model_b,1200,z,1.0,5.0,161,-0.0399,-1.996106e-06,0.2538,-0.474,confined plateau
